Title,Calories,Total Fat,Total Fat DVP,Saturated Fat,Saturated Fat DVP,Trans Fat,Trans Fat DVP,Polyunsaturated Fat,Polyunsaturated Fat DVP,Monounsaturated Fat,Monounsaturated Fat DVP,Cholesterol,Cholesterol DVP,Sodium,Sodium DVP,Total Carbohydrate,Total Carbohydrate DVP,Dietary Fiber,Dietary Fiber DVP,Sugars,Sugars DVP,Protein,Protein DVP
Fresh Strawberries,45,"(0, 'g')","(0, '%')","(0, 'g')","(0, '%')","(0, 'g')","(0, '%')","(0, 'g')","(0, '%')","(0, 'g')","(0, '%')","(0, 'mg')","(0, '%')","(0, 'mg')","(0, '%')","(12, 'g')","(4, '%')","(4, 'g')","(16, '%')","(8, 'g')","(0, '%')","(1, 'g')","(0, '%')"
"Fresh Bananas, per pound",90,"(0, 'g')","(0, '%')","(0, 'g')","(0, '%')","(0, 'g')","(0, '%')","(0, 'g')","(0, '%')","(0, 'g')","(0, '%')","(0, 'mg')","(0, '%')","(1, 'mg')","(0, '%')","(0, 'g')","(0, '%')","(3, 'g')","(0, '%')","(2, 'g')","(0, '%')","(1, 'g')","(0, '%')"
RITZ Fresh Stacks Original Crackers,80,"(4, 'g')","(6, '%')","(1, 'g')","(5, '%')","(0, 'g')","(0, '%')","(16, '')","(0, '%')","(7, '')","(0, '%')","(0, 'mg')","(0, '%')","(130, 'mg')","(6, '%')","(0, 'g')","(4, '%')","(0, 'g')","(0, '%')","(1, 'g')","(2, '%')","(1, 'g')","(0, '%')"
2% Reduced Fat Milk,130,"(5, 'g')","(6, '%')","(3, 'g')","(15, '%')","(0, 'g')","(0, '%')","(0, 'g')","(0, '%')","(2, 'g')","(0, '%')","(0, 'mg')","(7, '%')","(130, 'mg')","(6, '%')","(12, 'g')","(4, '%')","(0, 'g')","(0, '%')","(12, 'g')","(0, '%')","(8, 'g')","(10, '%')"
"Taters, Seasoned, Shredded Potatoes",160,"(8, 'g')","(12, '%')","(2, 'g')","(10, '%')","(0, 'g')","(0, '%')","(2, 'g')","(0, '%')","(4, 'g')","(0, '%')","(0, 'mg')","(0, '%')","(330, 'mg')","(14, '%')","(20, 'g')","(7, '%')","(2, 'g')","(8, '%')","(0, '//')","(0, '%')","(2, 'g')","(0, '%')"
Frozen Broccoli Florets,25,"(0, 'g')","(0, '%')","(0, 'g')","(0, '%')","(0, 'g')","(0, '%')",,,,,"(0, 'mg')","(0, '%')","(15, 'mg')","(0, '%')","(4, 'g')","(1, '%')","(2, 'g')","(0, '%')",,,"(1, 'g')","(0, '%')"
Cinnamon French Toast Sticks,330,"(15, 'g')","(19, '%')","(2, 'g')","(10, '%')","(0, 'g')","(0, '%')","(9, 'g')","(0, '%')","(4, 'g')","(0, '%')","(5, 'mg')","(2, '%')","(0, 'mg')","(15, '%')","(44, 'g')","(16, '%')","(1, 'g')","(4, '%')","(7, 'g')","(34, '%')","(5, 'g')","(0, '%')"
Fresh Green Bell Pepper,30,"(0, 'g')","(0, '%')","(0, 'g')","(0, '%')","(0, 'g')","(0, '%')","(0, 'g')","(0, '%')","(0, 'g')","(0, '%')","(0, 'mg')","(0, '%')","(4, 'mg')","(0, '%')","(7, 'g')","(0, '%')","(2, 'g')","(0, '%')","(4, 'g')","(0, '%')","(1, 'g')","(0, '%')"
Garlic Texas Toast,140,"(7, 'g')","(9, '%')","(2, 'g')","(8, '%')","(0, 'g')","(0, '%')","(3, 'g')","(0, '%')","(2, 'g')","(0, '%')","(0, 'mg')","(0, '%')","(240, 'mg')","(10, '%')","(16, 'g')","(6, '%')","(1, 'g')","(4, '%')","(1, 'g')","(0, '%')","(3, 'g')","(0, '%')"
GV GOLDEN SWEET WHOLE KERNEL CORN 15OZ,45,"(0, 'g')","(1, '%')","(0, 'g')","(0, '%')","(0, 'g')","(0, '%')","(0, 'g')","(0, '%')","(0, 'g')","(0, '%')","(0, 'mg')","(0, '%')","(200, 'mg')","(13, '%')","(9, 'g')","(5, '%')","(1, 'g')","(12, '%')","(2, 'g')","(0, '%')","(2, 'g')","(0, '%')"
